origin,heard,identical,read,time_transcription
"Oh my God, hes lost it. Hes totally lost it.",it had a lot of it is the i've,False,True,3.687160432993551
What?,what,False,True,1.7035257739917142
"Or! Or, we could go to the bank, close our accounts and cut them off at the source.",or are we to go into the bank closed our accounts and put them all but the sword,False,True,5.191645357001107
Youre a genius!,you see that,False,True,2.1152446280029835
"Aww, man, now we wont be bank buddies!",one of them we will be the body,False,True,4.249162677995628
"Now, theres two reasons.",now there's two rings,False,True,1.212537275001523
Hey.,the fine,False,True,2.3950644970027497
Hey!,why,False,True,1.831414907996077
"Ohh, you guys, remember that cute client I told you about? I bit him.",how'd you guys ever that cute finite tell you that i got in,False,True,5.06332846499572
Where?!,we are committed,False,True,2.240489395990153
On the touchy.,oh,False,True,1.847906160997809
And,that's not against your own,False,True,2.7374681799992686
"No, I know!",why why is or in a while,False,True,3.864301196008455
"I-Im sorry, but the moment I touch him, I just wanna throw out my old oath and take a new, dirty one.",i know i i'm sorry but i'm not i don't mind what we're all out on an taken during one that the resides in egypt was thank yourself,False,True,13.62663978600176
"Well, next time your massaging him, you should try and distract yourself.",and so there was ice new to do is actors around the alley but i'm doing something exciting in iowa get to,False,True,11.46279672300443
Yeah! Yeah! Yeah! Like-like when Im doing something exciting and I dont wanna get,and yet i humbly but what i'm doing something exciting in iowa get too excited,False,True,7.541665023993119
"Thank you, Joey.",i keep going,False,True,0.8815151059970958
"No-no, thank you.",no no thank you,False,True,1.365262781997444
"Hey Estelle, listen",means a visit to al well what,False,True,2.7397205749875866
Well! Well! Well! Joey Tribbiani! So you came back huh? They,means of those new al well when sally is running an and him back,False,True,6.938892994003254
What are you talkin about? I never left you! Youve always been my agent!,and you talking about left you mean to do my agent,False,True,6.420887287007645
Really?!,really,False,True,1.3117770190001465
Yeah!,that if,False,True,2.0993654409976443
"Oh well, no harm, no foul.",what do how i don't howl,False,True,2.88074178500392
"Okay, you guys free tonight?",o. k. you guys free tonight,False,True,1.4591405660030432
Yeah!!,your home,False,True,2.151886721010669
Tonight? You-you didn't say it was going to be at nighttime.,tonight he uses him might have,False,True,4.156753723000293
Yes? Yes?! How can I help you?,yes yes i can i help help,False,True,2.4566241330030607
"Yeah, we werewe were just looking around.",that is what route,False,True,2.485918097998365
"Oh-oh, youre-youre fellow scholars.",a whole ordered your film scholars,False,True,1.4327981889946386
"What exactly were you looking for, hmm?",what exactly were you looking for,False,True,1.387604775998625
"Perhaps,  perhaps Dr. Chester Stocks musings on the Smiledon Californicus?",perhaps or perhaps the doctor chester stops musings on these while in california desert,False,True,4.533385849004844
Uhh.,nowhere,False,True,1.4709023420000449
"Ah AhGet out of here!  Uh, meeting someone? Or-or are you just here to brush up on Marions views on evolution?",a ha ha garay and i and one that by being someone or war rages here to brush up on the honorariums views on evolution movement,False,True,13.961155917000724
"Uh, actually I find Marions views far too progressionist.",pound actually i financed he is nineteenth aggressions,False,True,2.88751168998715
I find Marions views far too progressionist.,i find marion's views for two progression is,False,True,1.4349091690091882
"Im sorry, who are you?",hi i'm sorry lying on,False,True,2.237926489004167
"Im a professor here uh, RossGeller.",officer here about ross geller,False,True,1.2396661439997843
"Ross Geller, why do I know that name? Its uhWait!  Did you write this?",ross geller well in a name it can wait how do you have this,False,True,7.234063762996811
Yes! Youre the person who checked out my book?!,he has that you read the parties when one juror when you come,False,True,7.814541881001787
"Yknow, you look nothing like I wouldve thought. Youreyoure so young.",it's a young,False,True,1.0257375380024314
"Well I uh, I skipped forth grade.",well in a skip fourth grade,False,True,2.925148680995335
You had no right to tell me you ever had feelings for me.,all right don't you ever have feelings from,False,True,2.5198872740002116
What?,what i was doing the right path,False,True,1.8855391350080026
I was doing great with Julie before I found out about you.,what i was doing the right of juliet and forth on but you,False,True,4.963088204996893
"Hey, I was doin' great before I found out about you. You think it's easy for me to see you with Julie?",the unbreakable i found out about you the community you with julie,False,True,3.4762688310001977
The point is I...,one is a crime,False,True,1.0773130059969844
"I don't need this right now, OK.",i don't hate is right now,False,True,1.532352540991269
"It, it's too late, I'm with somebody else, I'm happy.",okay it's it's too late on the miles i'm happy to do him and he,False,True,4.311752345995046
This ship has sailed.,and somebody else i'm happy to the birthday,False,True,2.8900505670026178
"Alright, fine, you go ahead and you do that, alright Ross.",now if i did to that crime has,False,True,2.089001084998017
Fine.,,False,True,0.4197048710047966
Cause I don't need your stupid ship.,me and for the,False,True,3.305285880007432
Good.,they i,False,True,2.218618928993237
Good.,and,False,True,1.3178871700074524
"Oh, it's so romantic to send people off on their honeymoon.",to a romantic that often been for a,False,True,6.914136071005487
"Yknow, Monica and Chandler are married. Ross and Rachel are having a baby. Maybe you and I should do something.",no one dared to marry dawson rachel that they've been viewers views of the common good time of five feet high and i,False,True,8.890106583989109
All in good time my love.,did you have to do something to convict him of,False,True,2.5807355680008186
All in good time.,thank you and i,False,True,3.2357188960013445
Oh shoot!,at the huge,False,True,1.4895875799993519
I left my guitar in their apartment.,i love my good time have been,False,True,2.381877097010147
Well you can let me in later.,please let me in layering,False,True,1.19171568499587
"I dont have a key, they took mine to give to you.",on what he did someone gives you,False,True,2.8267802210029913
What?! They took mine to give to you!,,False,True,0.4527945709996857
Why would they take away our keys?,why it should not you what one ricky,False,True,3.306422007997753
Wow! It looks like we got a lot of good stuff.,what should we go and moved on,False,True,2.207638398002018
"Oh we did, but my mom got us the greatest gift of all.",all we did but i'm not that is the greatest gift of all,False,True,1.7589713030029088
A,oh please don't want to shoot,False,True,1.479323886000202
No. Shes going to live with us for eight weeks.,that keith going to live with that forty winks,False,True,5.233870755997486
"Uh, what?",what,False,True,1.3212112649925984
Yes! Shes gonna help us take care of the baby! Woo-hoo.,i think elvis had a kid in and i,False,True,4.513053530012257
WhatYoure not serious.,i'm just curious,False,True,3.379531673999736
"I mean shes a very nice woman, but there is no way we can take eight weeks of her.",this is a very nice woman but there's no way we can take eight weeks of,False,True,2.4545145489973947
Shell drive us totally crazy.,but lives portly cry,False,True,1.3889895509928465
Hi Ross!,come on,False,True,1.1594479000050342
Hi roomie!,a new,False,True,2.652280497990432
Hey! What did you decide to do about the movie?,i'm waiting as ivan ivan,False,True,4.549254661993473
I dont know!,you know,False,True,1.7993457359989407
Its not like its porn!,so it is porn,False,True,1.0433056430047145
"This is a serious, legitimate movie.",this is serious legitimate movie,False,True,1.4419502029923024
And the nudity is really important to the story.,i'm to that it is really important to the store,False,True,1.8044218389986781
Thats what you say about porn.,that is enough morning,False,True,2.4953934180084616
Youre right. Maybe I shouldnt even go on the call back.,derive division go on call,False,True,2.0127051570016192
"No! No you should! A lot of major actors do nude scenes! I mean, the chance to star in a movie? Come on!",oh no issue the good law major actors do nude scenes and a chance at heart and a movie come on,False,True,5.779560205992311
Well thats true.,that's true,False,True,1.104346774998703
And I am only naked in one scene.,among native one scene,False,True,1.7978444609907456
Plus it sounds really great.,the boss itself,False,True,1.8207618059968809
My characters catholic and he falls in love with this Jewish girl.,great my characters catholic because love is jewish,False,True,1.980685115995584
Who run away together and they get caught in this big rainstorm.,we've run away again again kong's big rainstorm,False,True,1.397109648998594
So we go into this barn and undress each other and hold each other.,to go on his barn and trust each other and old each,False,True,2.3734879639960127
Its really sweet and-and tender.,that really sweet and paranoia,False,True,2.183671367005445
"Hey, whats up?",to,False,True,2.637167723994935
"Nothing, Monica and I had a stupid fight.",no my plans to fight,False,True,2.739004622999346
"But youre still moving in together, right? Because my ad came out today.",but used to winning the right atlanta mcdermott,False,True,1.8316547399881529
"""Wanted. Female roommate, non-smoker, non-ugly."" Nice!",what's a female roommate nonsmoker not lovely,False,True,1.593159433992696
Yeah?,who hangs out,False,True,1.5535788220004179
"I just figured yknow, after living with you itd be an interesting change of pace to have a female roommate, yknow?",hello act a little due to be an interesting change of pace of the female ruling,False,True,3.0575740530039184
"Someone I can learn from, someone-someone whos different than me.",no one i can learn from someone who different than me,False,True,2.2654434589931043
And whats more different than me. A guy whos,what what does that in me that guy who's not nineteen,False,True,2.0607306839956436
So where are we going next?,go ahead,False,True,1.3543843740044395
This witness won't return my calls so we're gonna see if we can surprise him coming home.,this witness boardroom like calls were received and fries and coming,False,True,1.8753111400001217
"Sur-surprise him? We're not, we're not gonna make anybody mad are we?",to supply someone might make him a meadow,False,True,6.328097580000758
"Come on man!  Listen so uh, are you gonna squeeze the perps shoes a little bit before he lawyers up?",the end of it early in the last ones that are jews all over the voyeurism,False,True,5.395004956997582
It's a witness not a perp. And no one talks like that!,the weakness and urban know what coldly there,False,True,2.143227045002277
"Yeah, no one talks like that!",,False,True,0.4083847949950723
Oh what? Like your Mr. Cop!,what would you missed a cop,False,True,1.5714387710031588
"Hey, I'm more cop than you two!",the bomb went off and you,False,True,2.740510567004094
How do you figure that?,they figure that low,False,True,1.5595437419979135
"Hello! I'm in the front seat, okay? I'm Gary's partner!",on the front seat and one believes horn,False,True,4.442304316005902
I guess so.,it is now,False,True,1.445365576990298
Here you go. Thank you!,i don't mean they breathe,False,True,3.7269654459960293
"Wait, Rach! Where's the other one?",,False,True,0.4432108979963232
"Oh what, you-you want both of them?",await you on both of them huh huh,False,True,2.330113314004848
"Rachel Karen Green, where's the other earring?!",and bring where is the hurry,False,True,3.3376521629979834
"Okay, okay, okay, look, just don't freak out, but I kinda lost it.",what don't freak galvanized mean the loss,False,True,3.5208520570013206
"I know it's in the apartment, but I",can i go to the apartment by and lost,False,True,3.8380254310031887
"Well, what am I going to tell Monica? She wants to wear them tonight!",and what is was the one in ten,False,True,5.741026636998868
Tell her to wear her own earrings.,and to our own during the time her hearing,False,True,3.1759559430065565
These,,False,True,0.46671985600551125
Nooo! Nooooo! You lent me Monica's earrings?! I'm not allowed to borrow her stuff!,someone what is he likely to prove it huh,False,True,4.914615743007744
Why not?,why,False,True,1.027278743989882
Because I lose her stuff!,i think and her staff,False,True,1.6509994939988246
"Uh Phoebe, can I see you for a second?",the kinds of numbers on,False,True,3.043471387005411
Yeah!,yes,False,True,2.4595743369864067
Whats going on?,so if things go on,False,True,1.6088600640068762
Chandlers gone again!,again,False,True,0.7385027109994553
Oh my God! Why would you play hide and seek with someone you know is a flight risk?!,and i'm not one but a fun to do so when you know wasn't like we had,False,True,5.889614008992794
Okay. You ready to push again?,and rivers and,False,True,3.1914852619956946
I already had a baby. Leave me alone.,we have a new law,False,True,2.695915246993536
"Okay, okay, come on, you can do it. You can do it!",that and you don't you get away,False,True,6.253062952004257
Yeah!!,we whoa,False,True,1.6269637390068965
Little Leslie is here!,unless he's doing and why,False,True,1.6258929339965107
We got another one!,coming,False,True,1.1420456959895091
"Oh my God, I can't believe I have two-two children.",when i have a cavalier and to schiller,False,True,4.022882176010171
How scary is that?,has very hand,False,True,1.4982876970025245
"Come on little Chandler, it's time to be born. Come on little Chandler! Come on!",come on sam lives and you go on to the,False,True,3.839355271004024
"All right, he's coming. He's coming!",an an it coming he's coming,False,True,2.87849564399221
"Hey, where's his thing?",i know is it going up,False,True,2.5708782589936163
Chandler's a girl!,do you really are off,False,True,1.1186168550048023
"Oh God, kindergarten flashback.",you go and find them,False,True,2.8012390220101224
They musta read the sonogram wrong.,what's the right as god ramrod does it get but he was a,False,True,3.541893022003933
"Cause they, 'cause they thought it was a boy, but Chandler's a girl!",oh it was the right as god ramrod using his ago and he was a bully but how is it not an early yeah,False,True,6.230464427993866
Chandler's a girl!,a budget heller's and i learned,False,True,1.9202477039943915
"Okay, keep saying it!",good him,False,True,2.8478155829943717
Am I too late?!,through the long running things okay everybody so,False,True,3.6182330589945195
"No-no ah, everything's okay. Everybody's healthy there's 30 fingers and 30 toes.",is there in bigger than thirty thousand,False,True,2.2488943470089
We have our babies?,we have happened,False,True,3.4315297680004733
Yeah.,he now,False,True,1.5242088300001342
"Oh, we have our babies.",and hidden,False,True,2.44933748699259
Hey Toby!,nato,False,True,1.0132781930005876
Hey Bobby.,and i,False,True,1.1432343530032085
"Its Bob actually. Hey, you work up here, can you tell me where this Chandler",it's all actually what appeared to me until we were this chair were beings offices,False,True,6.26828542399744
"Uhh yeah. Yeah, its  right, right down there.  Right there, yeah. Can I ask you why?",i have rights movement in the why,False,True,8.295027426996967
"I want to talk to that bastard, see what his problem is.",whatsoever that bastard's it was a problem it's,False,True,2.839917545003118
"Okay Bob listen uhh, Im the reason you didnt get the job up here.",listen i've reached new job,False,True,5.4823044759978075
Toby dont.,so we don't,False,True,1.2540269150049426
Bob!,bob,False,True,1.0054338490008377
Toby! Im not gonna let you cover for him. Anything you say right now will just get me more upset with Chandler!,so i'm not the lead yukon river and when you say right now is getting more upset with chandler,False,True,5.872430114002782
Thank you.  Oh Joey and look at this crib! Its so cute!,taiwanese states in the whole thing to know if i tell you what it is a friend that soaps,False,True,6.536331431998406
I know! I found it on the street.,oh so you know i found on the street,False,True,2.178727938007796
Are you seriousReally?! Its in such good condition.,and what it he did schindler,False,True,3.1573740680032643
Yeah.,things should this huh are,False,True,2.2603050979960244
Wow! Whoa-whoa whats under the covers?,whoa whoa of an actor,False,True,2.9747461789957015
I dont know.,so,False,True,1.062169928001822
Its moving.,,False,True,0.4460950339998817
Ew.,i'm stuck,False,True,1.7964322810003068
Its stillIts got a tail! Get it out of here! Get it out of here!!,what new,False,True,2.647885710990522
