origin,heard,identical,read,time_transcription
"Oh my God, hes lost it. Hes totally lost it.",he's lost cities totally lost,False,True,1.4797880989935948
What?,like,False,True,0.5800971379940165
"Or! Or, we could go to the bank, close our accounts and cut them off at the source.",or we could go to the bank close our accounts and cut them off at the source,False,True,1.3777561629976844
Youre a genius!,the your cheeks,False,True,0.5568359680037247
"Aww, man, now we wont be bank buddies!",literally won't be back birdies,False,True,1.2556160759995691
"Now, theres two reasons.",now there's two ways,False,True,0.6384149799996521
Hey.,hey,False,True,0.4835950389970094
Hey!,hey,False,True,0.4334716580051463
"Ohh, you guys, remember that cute client I told you about? I bit him.",are you guys ridicule klein i told you about i beat him,False,True,1.402609607001068
Where?!,where human tissue,False,True,0.6725379790004808
On the touchy.,,False,True,0.2574070049886359
And,that's not against your own,False,True,0.8125982640049187
"No, I know!",i know i'm sorry but the moment,False,True,0.7570887959882384
"I-Im sorry, but the moment I touch him, I just wanna throw out my old oath and take a new, dirty one.",i know i'm sorry but the moment i touch him i just want to throw out my old out and take a new dirty one the next w massaging them you should try to distract yourself,False,True,2.565941177002969
"Well, next time your massaging him, you should try and distract yourself.",the next severe massaging massage you should try to distract yourself yeah yeah like like what i'm doing something exciting and on i don't want to get too,False,True,2.3393329410027945
Yeah! Yeah! Yeah! Like-like when Im doing something exciting and I dont wanna get,yeah yeah like like what i'm doing something exciting and on i don't want to get too excited,False,True,1.4699378420045832
"Thank you, Joey.",thank you joey,False,True,0.5336507210013224
"No-no, thank you.",oh no thank you,False,True,0.8259878840035526
"Hey Estelle, listen",stuff the said well well well,False,True,1.3459929640084738
Well! Well! Well! Joey Tribbiani! So you came back huh? They,stuff the said well well well showing through any so you came back half,False,True,1.8990056030015694
What are you talkin about? I never left you! Youve always been my agent!,the target about i never left you you've always been my agent,False,True,1.5318395420035813
Really?!,really,False,True,0.4861681330075953
Yeah!,you either,False,True,0.689846408989979
"Oh well, no harm, no foul.",well no harm no foul,False,True,0.8830448889930267
"Okay, you guys free tonight?",okay you guys free tonight,False,True,0.8245561020012246
Yeah!!,the don't know,False,True,0.6760501270036912
Tonight? You-you didn't say it was going to be at nighttime.,tonight you didn't say what can be at nighttime,False,True,1.3169127449946245
Yes? Yes?! How can I help you?,there's yes how can i help you,False,True,1.0402322029985953
"Yeah, we werewe were just looking around.",there's like around,False,True,0.8810550000052899
"Oh-oh, youre-youre fellow scholars.",oh you're your fill of scholars,False,True,0.7601016319968039
"What exactly were you looking for, hmm?",what exactly were you looking for,False,True,0.8289236540003913
"Perhaps,  perhaps Dr. Chester Stocks musings on the Smiledon Californicus?",perhaps or perhaps doctor just stops musings on these at telephone occurs,False,True,1.7041812139941612
Uhh.,that,False,True,0.4318316010030685
"Ah AhGet out of here!  Uh, meeting someone? Or-or are you just here to brush up on Marions views on evolution?",ah eradicated by meeting someone or or or you just here to brush up on that marion's views on evolution,False,True,2.819229689994245
"Uh, actually I find Marions views far too progressionist.",ah actually i find very of his views are to progression us,False,True,1.0859218520054128
I find Marions views far too progressionist.,i find marion's views for to progression is,False,True,0.9457842880074168
"Im sorry, who are you?",i'm sorry who are you,False,True,0.7291912720102118
"Im a professor here uh, RossGeller.",professor here or ross geller,False,True,0.7978144599910593
"Ross Geller, why do I know that name? Its uhWait!  Did you write this?",ross geller why do i know that name it's so wait did you write this,False,True,1.9332519940071506
Yes! Youre the person who checked out my book?!,has your the person who checked out my book,False,True,1.3583400649949908
"Yknow, you look nothing like I wouldve thought. Youreyoure so young.",you're so young,False,True,0.6282916189957177
"Well I uh, I skipped forth grade.",well i i skipped fourth grade,False,True,0.8327340179966995
You had no right to tell me you ever had feelings for me.,no right to tell me you ever had feelings from,False,True,1.010825642006239
What?,what i was doing quite well,False,True,0.7336232059897156
I was doing great with Julie before I found out about you.,what i was doing great with julie before for nine about you,False,True,1.388120470001013
"Hey, I was doin' great before I found out about you. You think it's easy for me to see you with Julie?",the i was doing great before i found out about you you think it's easy for me to see you with julie,False,True,1.427842648990918
The point is I...,point is i,False,True,0.5651428279961692
"I don't need this right now, OK.",i don't need this right now,False,True,0.634863621002296
"It, it's too late, I'm with somebody else, I'm happy.",okay it's it's too late i was somebody else i'm happy this ship has sailed,False,True,1.1330969580012606
This ship has sailed.,i was somebody else i'm happy this ship has sailed,False,True,0.9516061360045569
"Alright, fine, you go ahead and you do that, alright Ross.",right five you do that aren't laws,False,True,1.2158001850039
Fine.,,False,True,0.21853066499170382
Cause I don't need your stupid ship.,major stupid,False,True,0.7656226289982442
Good.,good,False,True,0.3879297669918742
Good.,,False,True,0.4449407099891687
"Oh, it's so romantic to send people off on their honeymoon.",the outside man switch to some people off on their honeymoon,False,True,1.4476953919947846
"Yknow, Monica and Chandler are married. Ross and Rachel are having a baby. Maybe you and I should do something.",monica and chandler married ross and rachel baby if you should do something all and good time and have signed time,False,True,2.3149777649960015
All in good time my love.,the viewed as should do something all and good time with of,False,True,1.1873587570007658
All in good time.,holland good time,False,True,0.9215266710089054
Oh shoot!,shit,False,True,0.33862923600827344
I left my guitar in their apartment.,i left my guitar in their apartment,False,True,0.777148480003234
Well you can let me in later.,are you can let me and later right,False,True,0.709298731002491
"I dont have a key, they took mine to give to you.",i don't have a key they took my and to you,False,True,1.0069774039875483
What?! They took mine to give to you!,,False,True,0.21586438600206748
Why would they take away our keys?,what they took my we give the you have to take away or key,False,True,1.3393063240073388
Wow! It looks like we got a lot of good stuff.,looks like we got a lot of good start,False,True,0.792555463995086
"Oh we did, but my mom got us the greatest gift of all.",we did but my mom got it's the greatest gift of all,False,True,1.0939533670025412
A,a play doh barbershop,False,True,0.7666103249939624
No. Shes going to live with us for eight weeks.,she's going to live with us for eight weeks,False,True,0.9833383669902105
"Uh, what?",what what,False,True,0.7655292830022518
Yes! Shes gonna help us take care of the baby! Woo-hoo.,she's going to help secure the baby,False,True,1.2729421949916286
WhatYoure not serious.,are you serious,False,True,0.8300987999973586
"I mean shes a very nice woman, but there is no way we can take eight weeks of her.",how much is a very nice woman but there's no way we can take eight weeks of,False,True,1.3108318949962268
Shell drive us totally crazy.,sure drivers totally crazy,False,True,0.9334665240021423
Hi Ross!,,False,True,0.3525457630021265
Hi roomie!,they'll,False,True,0.5487964749918319
Hey! What did you decide to do about the movie?,would you decide to me,False,True,1.052082281006733
I dont know!,i don't know,False,True,0.5073563659971114
Its not like its porn!,so like it's porn,False,True,0.7760604939976474
"This is a serious, legitimate movie.",is a serious legitimate movie,False,True,0.8745591079932638
And the nudity is really important to the story.,and the nudity is really important to the store,False,True,1.0465248940017773
Thats what you say about porn.,that's what you say about porn,False,True,0.739914295001654
Youre right. Maybe I shouldnt even go on the call back.,the arrive and radiation even go on the combat,False,True,1.223771887991461
"No! No you should! A lot of major actors do nude scenes! I mean, the chance to star in a movie? Come on!",the know you're sure did a lot of major actors do nude scenes and the chance to star in a movie come on,False,True,1.7601501530007226
Well thats true.,that's true,False,True,0.49445592900156043
And I am only naked in one scene.,and i am only naked in one scene,False,True,1.021057069010567
Plus it sounds really great.,plus it sounds,False,True,0.7469338439987041
My characters catholic and he falls in love with this Jewish girl.,great my characters catholic he falls in love with this jewish,False,True,1.0828368460061029
Who run away together and they get caught in this big rainstorm.,we've run away together get caught in a big rainstorm,False,True,1.0080584609968355
So we go into this barn and undress each other and hold each other.,so we go into this barn and undress each other hold each,False,True,0.9800648050004384
Its really sweet and-and tender.,that's really sweet and tender,False,True,0.9316961080039619
"Hey, whats up?",the,False,True,0.5610652680043131
"Nothing, Monica and I had a stupid fight.",nothing mana can i had a stupid fight,False,True,1.0549260080006206
"But youre still moving in together, right? Because my ad came out today.",the you're still moving in together right because my and came out today,False,True,1.0755081120005343
"""Wanted. Female roommate, non-smoker, non-ugly."" Nice!",wanted female roommate non smoker non ugly,False,True,1.0825438169995323
Yeah?,the case,False,True,0.5375465660035843
"I just figured yknow, after living with you itd be an interesting change of pace to have a female roommate, yknow?",i just figured you know have to live with you it'd be an interesting change of pace have a female roommate,False,True,1.575543111001025
"Someone I can learn from, someone-someone whos different than me.",know someone like i learned from someone someone is different than me,False,True,1.162352983999881
And whats more different than me. A guy whos,what's more different than me a guy who's not nineteen,False,True,1.0241366459958954
So where are we going next?,the go next,False,True,0.5184668449946912
This witness won't return my calls so we're gonna see if we can surprise him coming home.,this witness more turned my cause we're going to see if we could surprise and coming home,False,True,1.2662270690052537
"Sur-surprise him? We're not, we're not gonna make anybody mad are we?",some surprising when i when i can make anybody mad are we,False,True,1.374782648999826
"Come on man!  Listen so uh, are you gonna squeeze the perps shoes a little bit before he lawyers up?",come on and so you going to squeeze the perp shoes a little bit before he the lawyers up,False,True,1.515846345006139
It's a witness not a perp. And no one talks like that!,the witness not a purple no one talks like that,False,True,0.9961683550063754
"Yeah, no one talks like that!",,False,True,0.2277243099961197
Oh what? Like your Mr. Cop!,the what like your mister cop,False,True,0.7341964209917933
"Hey, I'm more cop than you two!",they a mall cop the new to,False,True,0.7261911259993212
How do you figure that?,how do you figure that below,False,True,0.8695019629958551
"Hello! I'm in the front seat, okay? I'm Gary's partner!",i'm in the front seat okay under gary's partner,False,True,1.1649762059969362
I guess so.,i guess so,False,True,0.6074357129982673
Here you go. Thank you!,they completely you think rich,False,True,0.9824140809942037
"Wait, Rach! Where's the other one?",,False,True,0.23830748500768095
"Oh what, you-you want both of them?",oh what you want both of them have done,False,True,0.9771916180034168
"Rachel Karen Green, where's the other earring?!",richard herring green whereas the other areas,False,True,1.1418405180011177
"Okay, okay, okay, look, just don't freak out, but I kinda lost it.",okay okay just don't freak out but i kind of lost,False,True,1.175575774992467
"I know it's in the apartment, but I",i it's in the apartment but i definitely lost of,False,True,1.18234616900736
"Well, what am I going to tell Monica? She wants to wear them tonight!",tell monica she wants to wear them tonight,False,True,1.2421731959911995
Tell her to wear her own earrings.,teller were earrings these are her erie,False,True,1.270215429001837
These,,False,True,0.2168453699996462
Nooo! Nooooo! You lent me Monica's earrings?! I'm not allowed to borrow her stuff!,monica's allowed to borrow her,False,True,1.182197444999474
Why not?,why not,False,True,0.48509806900983676
Because I lose her stuff!,because i lose her stuff,False,True,0.7775792249885853
"Uh Phoebe, can I see you for a second?",see you first,False,True,1.0777279900066787
Yeah!,yeah,False,True,0.4361551139882067
Whats going on?,the channel is gone,False,True,0.8366398270009086
Chandlers gone again!,again,False,True,0.4046234790002927
Oh my God! Why would you play hide and seek with someone you know is a flight risk?!,oh my god why would you play hide and seek to someone you know was a flight risk,False,True,1.3480401650012936
Okay. You ready to push again?,okay you really appreciate and,False,True,0.9421233930042945
I already had a baby. Leave me alone.,i already had a baby leave me alone,False,True,0.8291059499897528
"Okay, okay, come on, you can do it. You can do it!",okay not help them are you could do you could do it,False,True,1.3356514449988026
Yeah!!,,False,True,0.33243133399810176
Little Leslie is here!,liza we got another one,False,True,0.9878693140053656
We got another one!,,False,True,0.30401800299296156
"Oh my God, I can't believe I have two-two children.",though i got can't believe i have it's usual,False,True,1.332473262998974
How scary is that?,how scary is here,False,True,0.5341734279936645
"Come on little Chandler, it's time to be born. Come on little Chandler! Come on!",come as little chandler it's time we won't go,False,True,1.13815249199979
"All right, he's coming. He's coming!",this comment is coming he's coming,False,True,0.9102910299989162
"Hey, where's his thing?",i was his then,False,True,0.8529029749915935
Chandler's a girl!,germany's a girl,False,True,0.7183629380015191
"Oh God, kindergarten flashback.",oh god kindergarten flashback,False,True,1.063079468003707
They musta read the sonogram wrong.,that was the the sonogram wrong because a because they thought it was a,False,True,1.3654427849978674
"Cause they, 'cause they thought it was a boy, but Chandler's a girl!",that was the the sonogram wrong because a because they thought it was a boy but jailers a girl janitors ago,False,True,1.9132327559927944
Chandler's a girl!,the jailers or guards and there's a guy,False,True,1.0893130379990907
"Okay, keep saying it!",the really getting and,False,True,0.9914119919994846
Am I too late?!,that's your thing you know everything's okay everybody's,False,True,1.481893754011253
"No-no ah, everything's okay. Everybody's healthy there's 30 fingers and 30 toes.",started fingers at thirty toes,False,True,0.7845635220000986
We have our babies?,we have ah,False,True,0.7877149420091882
Yeah.,the,False,True,0.46355181001126766
"Oh, we have our babies.",we have baby,False,True,0.7264074779959628
Hey Toby!,the town,False,True,0.5341337099962402
Hey Bobby.,hey buddy,False,True,0.8505475730053149
"Its Bob actually. Hey, you work up here, can you tell me where this Chandler",this bob actually a york up computer can you tell me where this chandler beings offices,False,True,1.6343518950016005
"Uhh yeah. Yeah, its  right, right down there.  Right there, yeah. Can I ask you why?",ah yes yeah it's a victim yeah and ask why,False,True,2.1038816229993245
"I want to talk to that bastard, see what his problem is.",talk to that bastard and see what his problem is,False,True,1.3353063940012362
"Okay Bob listen uhh, Im the reason you didnt get the job up here.",listen i'm the reason you get job last year,False,True,1.1480292939959327
Toby dont.,toby don't,False,True,0.6304058440000517
Bob!,bob,False,True,0.3730725779896602
Toby! Im not gonna let you cover for him. Anything you say right now will just get me more upset with Chandler!,tell me i'm not gonna let you cover for hear anything you say a map will just give me more upset with chandler,False,True,2.0108133230096428
Thank you.  Oh Joey and look at this crib! Its so cute!,i want me to stay to old thinking of joy and gets his brand that so,False,True,1.866635441998369
I know! I found it on the street.,so now i found it on the street,False,True,0.8546906300034607
Are you seriousReally?! Its in such good condition.,really it's just good condition,False,True,1.4219193530007033
Yeah.,that such good condition,False,True,1.0211488630011445
Wow! Whoa-whoa whats under the covers?,how well with under the cover,False,True,1.1334064679977018
I dont know.,though,False,True,0.5342623019969324
Its moving.,,False,True,0.22953466499166097
Ew.,this stuff,False,True,0.5154848219972337
Its stillIts got a tail! Get it out of here! Get it out of here!!,senate bill,False,True,0.909279063998838
Ooh! Ah! Okay!,,False,True,0.2938877760025207
"Well, I went over to Kyles last night to pick up a few things and we got to reminiscing",well i went over to kyle's last night to pick up a few things and we got to reminisce,False,True,1.6369433310028398
we talked through most of the night and we realized that the reason we were so angry at each other was because there are still feelings there. So,we talk through most of the night and we realize that the reason we're so angry with each other's because there are still feelings there,False,True,1.5257796390069416
Oh just say it Kyle!,i'll just say tired,False,True,0.9270768009882886
Were gonna give it another try.,going to give it another try,False,True,0.8351315269974293
What about her whining and her constant need for attention?!,what about her whining and her constant need for attention,False,True,1.058854925999185
Im gonna work on that.,i'm going to work on that,False,True,0.600964869998279
"Oh right, because youre so capable of change.",right as your so capable of change,False,True,0.9001820760022383
"Yknow, he hums when he pees!",you don't need homes when he pees,False,True,0.9960799739928916
I do know.,i do know,False,True,0.5410168569942471
"It makes him miss the bowl, but whatever.",made some miss the bowl but whatever,False,True,0.8555347859946778
Were so sorry.,we're so sorry,False,True,0.7823748350056121
"Thats all right, we-we dont need you. In fact, hey Im over it already.",that's all right we we don't need you are in fact i'm over it,False,True,1.3015726040030131
"Yeah, and yknow what? I dont give a tiny rats ass.",you know and i don't even give a tiny rat's ass,False,True,0.8826235759916017
"Yeah, were gonna go.",now we're going to go,False,True,0.6548481529898709
"Im sorry. Ugh, Pheebs, you were, you were right about her. Yknow, she",i'm sorry seems you are you are right about her,False,True,1.1179728249990148
"Oh. Yknow, he hums while he does other stuff to.",you know he hams well he does other stuff too,False,True,1.0107919779984513
"Yeah, we're better off without them.",well we're better off without them,False,True,1.0475982899952214
"And yknow, even if they break up again, youd better not let him in your sad mens club!",and you know even if they break up again you better not let him in your said men's club,False,True,1.2890091739973286
Divorced mens club.,divorced men's club potato potato,False,True,0.9154361919936491
Why isnt that valet back with my Porsche?,the isn't that valet back with my porsche,False,True,1.0155345079983817
